,95th_latency,avg_latency,client,client_sched,clients,duration,engine,engine_sched,file,kernel,machine,max_latency,min_latency,throughput
0,12.08,10.17,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0233,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/s2UhNAVfrOIqzk,4.19.0-ipanema-g8cd6f0a04f0c,i80,198.02,5.46,6293.6911
1,20.37,16.87,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0461,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/U27vKH6NRMq1JS,4.19.0-ipanema-g8cd6f0a04f0c,i80,306.53,5.56,7584.7985
2,43.39,33.06,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1087,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/mJiVW7wFqSMt0I,4.19.0-ipanema-g8cd6f0a04f0c,i80,6228.37,6.57,7740.4775
3,42.61,32.77,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1112,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/K8SRErdhb0pdoM,4.19.0-ipanema-g8cd6f0a04f0c,i80,1496.47,6.61,7808.7934
4,18.95,16.3,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0487,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/NgKTNDZySRMkrL,4.19.0-ipanema-g8cd6f0a04f0c,i80,332.1,5.49,7848.9018
5,11.45,9.86,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0223,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/sJ9l3l597Wn4fI,4.19.0-ipanema-g8cd6f0a04f0c,i80,182.68,5.23,6487.834
6,20.74,16.7,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0452,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/BwvXjboAy5eZlM,4.19.0-ipanema-g8cd6f0a04f0c,i80,306.94,5.64,7664.0943
7,20.74,17.21,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0478,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/yVn0h2DNQtUJW3,4.19.0-ipanema-g8cd6f0a04f0c,i80,318.0,5.47,7434.8742
8,10.84,9.56,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0226,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/KbkF8LdVM5hyDv,4.19.0-ipanema-g8cd6f0a04f0c,i80,194.35,5.26,6692.0332
9,8.58,7.47,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0108,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/f7801xhPHGGRRW,4.19.0-ipanema-g8cd6f0a04f0c,i80,143.7,5.43,4284.289
10,43.39,33.15,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1082,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/yO3OjAyhX5TSd3,4.19.0-ipanema-g8cd6f0a04f0c,i80,1476.4,6.98,7718.2629
11,17.32,15.92,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.048,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/9BcEEfFDMHCVnZ,4.19.0-ipanema-g8cd6f0a04f0c,i80,334.48,5.75,8035.9386
12,41.85,31.96,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1118,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/zSbqJ4OEzgj26u,4.19.0-ipanema-g8cd6f0a04f0c,i80,1429.95,6.52,8006.8705
13,10.84,9.44,sysbench 1.1.0,cfs_wwc scheduling policy,64,300.0347,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/m8dcrh4npptUZ0,4.19.0-ipanema-g8cd6f0a04f0c,i80,212.59,5.43,6776.167
14,41.85,32.03,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1113,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/YSzpAPpYwSC5wZ,4.19.0-ipanema-g8cd6f0a04f0c,i80,1440.97,7.02,7989.5222
15,8.43,7.42,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0113,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/hh2VH2A8KRaE3B,4.19.0-ipanema-g8cd6f0a04f0c,i80,130.37,5.29,4309.7105
16,8.58,7.43,sysbench 1.1.0,cfs_wwc scheduling policy,32,300.0105,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/6qxrF9joI7CkAr,4.19.0-ipanema-g8cd6f0a04f0c,i80,120.96,5.28,4306.6661
17,19.29,16.43,sysbench 1.1.0,cfs_wwc scheduling policy,128,300.0491,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/K2YM1gFNeS88M3,4.19.0-ipanema-g8cd6f0a04f0c,i80,317.74,5.84,7789.1452
18,39.65,31.59,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.1943,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/HI5PqtRmXfX5Sk,4.19.0-ipanema-g8cd6f0a04f0c,i80,1486.09,5.63,8098.4913
19,39.65,31.68,sysbench 1.1.0,cfs_wwc scheduling policy,256,300.109,mongo v4.1.8,cfs_wwc scheduling policy,/home/dc/storage/i80/mongo/r4.1.8/8a1f67c5bf0c5019b9f15ddf7292028a/data/QYFvVLRqVtzS3E,4.19.0-ipanema-g8cd6f0a04f0c,i80,1465.31,5.48,8077.526
