,Unnamed: 0,batch,cpu_clk,deQ_no_reason,deQ_sleep,deQ_wc_no_reason,deQ_wc_sleep,enQ_lb_mig,enQ_new,enQ_no_reason,enQ_wakeup,enQ_wakeup_mig,enQ_wc_lb_mig,enQ_wc_new,enQ_wc_no_reason,enQ_wc_wakeup,enQ_wc_wakeup_mig,fair_check_preempt_curr_hits,fair_check_preempt_curr_ns,fair_dequeue_task_hits,fair_dequeue_task_ns,fair_enqueue_task_hits,fair_enqueue_task_ns,fair_lb_idle_hits,fair_lb_idle_ns,fair_lb_periodic_hits,fair_lb_periodic_ns,fair_migrate_task_rq_hits,fair_migrate_task_rq_ns,fair_pick_next_task_hits,fair_pick_next_task_ns,fair_prio_changed_hits,fair_prio_changed_ns,fair_put_prev_task_hits,fair_put_prev_task_ns,fair_rq_offline_hits,fair_rq_offline_ns,fair_rq_online_hits,fair_rq_online_ns,fair_select_task_rq_hits,fair_select_task_rq_ns,fair_set_curr_task_hits,fair_set_curr_task_ns,fair_switched_from_hits,fair_switched_from_ns,fair_switched_to_hits,fair_switched_to_ns,fair_task_dead_hits,fair_task_dead_ns,fair_task_fork_hits,fair_task_fork_ns,fair_task_tick_hits,fair_task_tick_ns,fair_task_woken_hits,fair_task_woken_ns,fair_total_hits,fair_total_ns,fair_yield_task_hits,fair_yield_task_ns,fair_yield_to_task_hits,fair_yield_to_task_ns,file,idle_total_hits,idle_total_ns,ipanema_check_preempt_curr_hits,ipanema_check_preempt_curr_ns,ipanema_dequeue_task_hits,ipanema_dequeue_task_ns,ipanema_enqueue_task_hits,ipanema_enqueue_task_ns,ipanema_lb_idle_hits,ipanema_lb_idle_ns,ipanema_lb_periodic_hits,ipanema_lb_periodic_ns,ipanema_migrate_task_rq_hits,ipanema_migrate_task_rq_ns,ipanema_pick_next_task_hits,ipanema_pick_next_task_ns,ipanema_prio_changed_hits,ipanema_prio_changed_ns,ipanema_put_prev_task_hits,ipanema_put_prev_task_ns,ipanema_rq_offline_hits,ipanema_rq_offline_ns,ipanema_rq_online_hits,ipanema_rq_online_ns,ipanema_select_task_rq_hits,ipanema_select_task_rq_ns,ipanema_set_curr_task_hits,ipanema_set_curr_task_ns,ipanema_switched_from_hits,ipanema_switched_from_ns,ipanema_switched_to_hits,ipanema_switched_to_ns,ipanema_task_dead_hits,ipanema_task_dead_ns,ipanema_task_fork_hits,ipanema_task_fork_ns,ipanema_task_tick_hits,ipanema_task_tick_ns,ipanema_task_woken_hits,ipanema_task_woken_ns,ipanema_total_hits,ipanema_total_ns,ipanema_yield_task_hits,ipanema_yield_task_ns,ipanema_yield_to_task_hits,ipanema_yield_to_task_ns,kernel,ktime,machine,procstat_guest,procstat_guest_nice,procstat_idle,procstat_iowait,procstat_irq,procstat_nice,procstat_softirq,procstat_steal,procstat_system,procstat_total,procstat_user,sched_clk,sched_total_ns,scheduler,st_mtime,tasks,time
0,0,kbuild 4.19,59883.78051800002,78208,311027,0,0,44903,33287,33305,232569,45171,17241,24475,0,173357,37014,76756,21456087,363122,1934097872,363122,862527060,989,17404719,289395,2745546383,90071,84091819,581246,4714355916,0,0,285565,187940215,0,0,0,0,278410,1684957950,32655,17630428,0,0,0,0,32637,25480466,32637,225175963,991101,9889516506,0,0,3417709,22410196529,3,15145,0,0,/root/storage/i80/kbuild/4.19/578c2cb025fc87dadef8b8aef1d33821/data/4uKvVcDvlHo8Kr,249876,5182177023538,0,0,0,0,0,0,0,0,1266579,12283272465,0,0,18494,21341270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1285073,12304613735,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,59885.76136799995,i80,0,0,559077,20,0,0,302,0,241365,955987,155223,59883.78051800002,426370121048,Linux,1554717302.9136512,128,45.0
1,1,kbuild 4.19,71256.66063300008,48479,286982,0,0,15181,33295,33298,237700,15987,12952,31653,0,197102,14972,31095,12512360,316579,763959983,316579,429560212,614,5765369,462956,3519759855,31168,24553027,561559,1855923043,0,0,285197,73279705,0,0,0,0,253704,980848297,32648,17076324,0,0,0,0,32645,22042207,32645,96363189,362455,2080518765,0,0,2719844,9882162336,0,0,0,0,/root/storage/i80/kbuild/4.19/578c2cb025fc87dadef8b8aef1d33821/data/3uOxQxMpnrlvA3,254212,9293726992256,0,0,0,0,0,0,0,0,857980,4655116583,0,0,14872,16094251,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872852,4671210834,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,71258.83681699983,i80,0,0,992512,33,0,0,360,0,42009,1138145,103231,71256.6606350001,503492756512,Linux,1554716021.2065804,32,56.45
2,2,kbuild 4.19,64469.34467900009,88091,318831,0,0,54777,33284,33314,265047,20500,1412,9714,0,115411,3095,217497,71422599,377891,1801586689,377891,1516382600,170,2882460,147351,1636285342,75272,67005496,700596,2577329034,0,0,181406,201853669,0,0,0,0,278780,2030014625,32664,17963872,0,0,0,0,32634,25377331,32634,212101891,1132149,10998037550,0,0,3586953,21158328127,18,84969,0,0,/root/storage/i80/kbuild/4.19/578c2cb025fc87dadef8b8aef1d33821/data/pBVttXb5ooc0lw,127077,5081282386300,0,0,0,0,0,0,0,0,1244901,19316038576,0,0,2750,2901277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247651,19318939853,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,64470.253647999954,i80,0,0,577332,15,0,0,603,0,286242,1030632,166440,64469.34467599995,475657197932,Linux,1554715401.3208315,256,48.6
3,3,kbuild 4.19,64775.5234869998,56018,303398,0,0,22727,33286,33291,237125,32987,14036,31049,0,195978,28633,40126,13419354,339386,1710523407,339386,589410392,718,8347138,624474,5809653300,55712,49974466,584765,3479861012,0,0,298811,131777860,0,0,0,0,275799,1417353408,32641,17019022,0,0,0,0,32635,22977101,32636,192760956,558452,5019733253,0,0,3215542,18462812891,1,2222,0,0,/root/storage/i80/kbuild/4.19/578c2cb025fc87dadef8b8aef1d33821/data/KtkgHnSHUgxDCK,267208,7524511818714,0,0,0,0,0,0,0,0,1255968,19161517915,0,0,15705,18525244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1271673,19180043159,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,64778.58924699994,i80,0,0,808303,26,0,0,231,0,108970,1032219,114689,64775.5234869998,532860243234,Linux,1554716812.4228876,64,49.03
4,4,kbuild 4.19,62778.46449300001,96124,317473,0,0,62781,33286,33343,262934,21253,1046,9704,0,117157,1760,225309,72505943,385457,1789129383,385459,1489982887,67,1030278,152730,1850767443,84029,73471739,880263,3741130062,0,0,181228,193617692,0,0,0,0,269939,1957088022,32682,18137045,0,0,0,0,32648,24640399,32635,208751046,1135326,11212661066,0,0,3797779,22632956386,7,43381,0,0,/root/storage/i80/kbuild/4.19/578c2cb025fc87dadef8b8aef1d33821/data/OgjWFSW6hu9SP0,127298,5035728923128,0,0,0,0,0,0,0,0,1239023,9478758141,0,0,2418,2445951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1241441,9481204092,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,62780.88953200001,i80,0,0,549389,22,0,0,295,0,283721,1003911,170484,62778.46449599997,411841049891,Linux,1554714895.3047538,512,47.89
5,5,kbuild 4.19,69759.22832700005,33405,262185,0,0,91,33314,33314,217279,11592,31,33098,0,192720,11504,61,27081,53303,134308102,53303,131773940,0,0,106620,660931744,37,58427,519033,832374447,0,0,53015,6755943,0,0,0,0,11805,19541732,52,31590,1,805,0,0,52,33810,54,145902,159,705775,0,0,797502,1786701433,7,12135,0,0,/root/storage/i80/kbuild/4.19/0d879547f02fbcb446dbaf009244be60/data/GGLUrBDSfk2I7A,235133,9283690694182,70,3027,236471,393417395,236471,236713426,203600,1572632109,665445,5390655344,11645,282036,436256,1914795105,0,0,259870,78934016,0,0,0,0,232417,350781180,32612,4958076,0,0,1,87,32611,1348463,32610,3069754,351819,1147648732,203833,4681333,2935731,11099920083,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,69762.01317099994,i80,0,0,973389,208,0,0,393,0,47061,1115027,93976,69759.22832700005,547700294585,cfs_wwc_lookalike scheduling policy,1554715854.7450972,32,55.04
6,6,kbuild 4.19,61267.11540500005,57807,232142,0,0,24495,33314,33312,157110,41718,125,11338,0,114637,3157,271,121221,49374,304132696,49375,155052165,0,0,96169,726329369,198,367639,416658,1395561256,0,0,48716,7813072,0,0,0,0,10847,40010013,51,30886,1,785,0,0,50,32134,54,159591,285,1977041,0,0,672950,2636016231,901,4428363,0,0,/root/storage/i80/kbuild/4.19/0d879547f02fbcb446dbaf009244be60/data/D0fik6x116Ez8B,126992,4909900510346,63521,2176866,235102,602668374,235102,200366797,135216,1126359337,1163035,11198567566,66015,1970992,353508,1520852993,0,0,259014,275971205,0,0,0,0,206728,671782511,32612,6639382,0,0,1,83,32611,1824817,32610,3952011,1114344,5621255482,178179,4049486,4107598,21238437902,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,61267.978924999945,i80,0,0,533675,12,0,0,96,0,283218,979861,162860,61267.11540500005,850294224888,cfs_wwc_lookalike scheduling policy,1554715462.8936994,256,46.47
7,7,kbuild 4.19,60046.00282000005,36869,303339,0,0,3557,33311,33312,225949,44079,44,32450,0,195046,34377,71,32807,49847,317543321,49848,156124580,0,0,79784,657830548,606,1084620,601135,3435396757,0,0,49458,7597635,0,0,0,0,9188,26932377,50,32519,1,765,0,0,50,34850,51,133405,221,1391495,0,0,840310,4604135679,0,0,0,0,/root/storage/i80/kbuild/4.19/0d879547f02fbcb446dbaf009244be60/data/jNouROficUfpAG,260219,5267019432520,12014,622408,284857,958962931,284857,340220000,237289,2036667265,1198650,15424577500,47029,1297832,526409,2544738224,0,0,306325,373647460,0,0,0,0,277342,639662284,32612,6172010,0,0,1,83,32611,1543497,32610,3777542,974527,5595754290,248902,5884076,4496035,27933527402,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,60048.54523699964,i80,0,0,566408,30,0,0,43,0,235750,956606,154375,60046.002816999804,950158091963,cfs_wwc_lookalike scheduling policy,1554716934.9682307,128,45.26
8,8,kbuild 4.19,61547.63578699995,33464,278302,0,0,151,33312,33313,230690,14300,44,33003,0,207721,14142,50,37029,50455,265493793,50456,142619129,0,0,255789,1982277790,189,335951,553879,1419193993,0,0,50193,6766967,0,0,0,0,10004,23139861,51,31190,1,772,0,0,51,32946,52,142554,227,1435542,0,0,971401,3841526272,4,18755,0,0,/root/storage/i80/kbuild/4.19/0d879547f02fbcb446dbaf009244be60/data/H34Nhu6ryCJEWH,252561,7072538983898,171,7707,255662,787338469,255662,320576460,222570,1880491167,1035489,15503214347,14260,351410,474838,2321477712,0,0,277290,141395479,0,0,0,0,251552,456912369,32612,5417753,0,0,1,83,32611,1350229,32610,3257931,537681,3462486017,223068,5397495,3646077,24889674628,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,61549.01064400003,i80,0,0,766063,65,0,0,422,0,109386,981955,106019,61547.63578999997,748987699213,cfs_wwc_lookalike scheduling policy,1554716424.3325713,64,46.76
9,9,kbuild 4.19,61476.05485100003,51684,228643,0,0,18372,33320,33312,156497,38826,94,11001,0,113569,2858,205,87301,49911,306471363,49912,158675298,0,0,77895,594012181,177,303002,410633,1141885463,0,0,49346,8071103,0,0,0,0,11154,41661001,50,29980,1,722,0,0,50,32920,59,164037,288,1810095,0,0,649689,2253245059,8,40593,0,0,/root/storage/i80/kbuild/4.19/0d879547f02fbcb446dbaf009244be60/data/zC1IDVEG2hCoo7,125069,4729506450341,61135,2086673,224719,570039339,224719,193949557,127971,1033568685,1163886,11248156272,57019,1747112,348210,1424407796,0,0,257337,275413004,0,0,0,0,202466,663496815,32612,6726967,0,0,1,87,32611,1880213,32610,3966703,1119218,5673775036,173918,3974816,4058432,21103189075,0,0,0,0,4.19.0-ipanema-g5ac2a058435c,61477.49555299999,i80,0,0,534899,118,0,0,65,0,283016,983108,165010,61476.054854000016,847849805549,cfs_wwc_lookalike scheduling policy,1554714832.1502485,512,46.47
